REQUEST_DATE|SCENARIO_SEQ|REQUEST_SEQ|XPOS|YPOS|SISUL_CD1|RSRP1|SINR1|SISUL_CD2|RSRP2|SINR2|SISUL_CD3|RSRP3|SINR3
43740|1|1|127-06-01.522|37-29-58.382|20193AISM|-97.88293|6.5||||||
43740|1|1|127-06-01.523|37-29-58.707|20193AISM|-97.3768|6.4||||||
43740|1|1|127-06-01.523|37-29-59.031|20193AISM|-121.33113|1.22||||||
43740|1|1|127-06-01.523|37-29-59.355|201937097|-120.28771|2.1||||||
43740|1|1|127-06-01.524|37-29-59.680|201937097|-95.592384|7.21||||||
43740|1|1|127-06-01.524|37-30-0.004|201937097|-118.98072|3.29||||||
43740|1|1|127-06-01.525|37-30-0.328|201937097|-117.70716|4.48||||||
43740|1|1|127-06-01.525|37-30-0.653|201937097|-93.00908|9.28||||||
43740|1|1|127-06-01.526|37-30-0.977|201934626|-90.33126|9.11||||||
43740|1|1|127-06-01.526|37-30-01.301|201937097|-92.6273|9.33||||||
43740|1|1|127-06-01.527|37-30-01.626|201937097|-116.11541|5.92||||||
43740|1|1|127-06-01.527|37-30-01.950|201937097|-117.79396|4.21||||||
43740|1|1|127-06-01.527|37-30-02.275|201937097|-118.67976|3.31||||||
43740|1|1|127-06-01.528|37-30-02.599|2019Y1723|-117.60411|5.15||||||
43740|1|1|127-06-01.528|37-30-02.923|2019Y1723|-116.801636|6.18||||||
43740|1|1|127-06-01.529|37-30-03.248|2019Y1723|-116.555885|6.54||||||
43740|1|1|127-06-01.529|37-30-03.572|2019Y1723|-114.78798|8.15||||||
43740|1|1|127-06-01.530|37-30-03.896|2019Y1723|-89.85458|12.89||||||
43740|1|1|127-06-01.530|37-30-04.221|2019Y1723|-89.86554|11.38||||||
43740|1|1|127-06-01.530|37-30-04.545|2019Y5342|-90.09128|8.69||||||
43740|1|1|127-06-01.531|37-30-04.869|2019Y5342|-112.65805|7.1||||||
43740|1|1|127-06-01.531|37-30-05.194|2019Y5342|-87.80073|9.23||||||
43740|1|1|127-06-01.532|37-30-05.518|2019Y5342|-87.70494|10.27||||||
43740|1|1|127-06-01.532|37-30-05.843|2019Y5342|-89.19112|10.87||||||
43740|1|1|127-06-01.533|37-30-06.167|2019Y5342|-89.71908|14.24||||||
43740|1|1|127-06-01.533|37-30-06.491|2019Y5342|-90.45627|13.19||||||
43740|1|1|127-06-01.533|37-30-06.816|2019Y5342|-92.65512|12.02||||||
43740|1|1|127-06-01.534|37-30-07.140|2019Y5342|-117.73524|5.05||||||
43740|1|1|127-06-01.534|37-30-07.464|2019Y5342|-94.44202|9.64||||||
